district,total_schools,cep_schools,cep_percentage,cep_display
H01,9,6,66.66666666666666,6/9 CEP schools
H02,6,4,66.66666666666666,4/6 CEP schools
H03,9,6,66.66666666666666,6/9 CEP schools
H04,5,3,60.0,3/5 CEP schools
H05,10,7,70.0,7/10 CEP schools
H06,7,3,42.857142857142854,3/7 CEP schools
H07,3,2,66.66666666666666,2/3 CEP schools
H08,7,5,71.42857142857143,5/7 CEP schools
H09,5,0,0.0,0/5 CEP schools
H10,4,1,25.0,1/4 CEP schools
H11,5,0,0.0,0/5 CEP schools
H12,5,0,0.0,0/5 CEP schools
H13,10,7,70.0,7/10 CEP schools
H14,5,1,20.0,1/5 CEP schools
H15,6,1,16.666666666666664,1/6 CEP schools
H16,5,0,0.0,0/5 CEP schools
H17,9,2,22.22222222222222,2/9 CEP schools
H18,4,0,0.0,0/4 CEP schools
H19,4,0,0.0,0/4 CEP schools
H20,8,1,12.5,1/8 CEP schools
H21,4,3,75.0,3/4 CEP schools
H22,5,0,0.0,0/5 CEP schools
H23,4,4,100.0,4/4 CEP schools
H24,1,1,100.0,1/1 CEP schools
H25,4,1,25.0,1/4 CEP schools
H26,5,2,40.0,2/5 CEP schools
H27,4,0,0.0,0/4 CEP schools
H28,4,3,75.0,3/4 CEP schools
H29,5,3,60.0,3/5 CEP schools
H30,10,5,50.0,5/10 CEP schools
H31,7,0,0.0,0/7 CEP schools
H32,7,1,14.285714285714285,1/7 CEP schools
H33,4,0,0.0,0/4 CEP schools
H34,9,1,11.11111111111111,1/9 CEP schools
H35,2,0,0.0,0/2 CEP schools
H36,4,1,25.0,1/4 CEP schools
H37,2,0,0.0,0/2 CEP schools
H38,6,0,0.0,0/6 CEP schools
H39,3,1,33.33333333333333,1/3 CEP schools
H40,4,0,0.0,0/4 CEP schools
H41,6,1,16.666666666666664,1/6 CEP schools
H42,5,0,0.0,0/5 CEP schools
H43,3,0,0.0,0/3 CEP schools
H44,5,4,80.0,4/5 CEP schools
H45,6,6,100.0,6/6 CEP schools
H46,10,3,30.0,3/10 CEP schools
H47,8,1,12.5,1/8 CEP schools
H48,7,3,42.857142857142854,3/7 CEP schools
H49,6,2,33.33333333333333,2/6 CEP schools
H50,10,1,10.0,1/10 CEP schools
H51,6,2,33.33333333333333,2/6 CEP schools
